,INT_DATE,INT_START,SUBSTRATUM,STRATUM,COUNTRY,ID,RESPAGE,RESPSEX,RESPEMP,RESPPOB,RESPMAR,TRUCRTS,TRUPARL,TRUEXEC,TRUPRES,TRUHLTH,TRUNGOS,TRUMEDI,TRULOCG,TRURELI,TRUOMB,TRUSTEU,TRUSTUN,Region_Code,NO<sub>2,SO<sub>2,PM2.5,PM10,O<sub>3,CO,NO<sub>2_lag1,SO<sub>2_lag1,PM2.5_lag1,PM10_lag1,O<sub>3_lag1,CO_lag1,NO<sub>2_lag2,SO<sub>2_lag2,PM2.5_lag2,PM10_lag2,O<sub>3_lag2,CO_lag2,NO<sub>2_lag3,SO<sub>2_lag3,PM2.5_lag3,PM10_lag3,O<sub>3_lag3,CO_lag3,NO<sub>2_lag4,SO<sub>2_lag4,PM2.5_lag4,PM10_lag4,O<sub>3_lag4,CO_lag4,NO<sub>2_lag5,SO<sub>2_lag5,PM2.5_lag5,PM10_lag5,O<sub>3_lag5,CO_lag5,row_id,date,hour,NO2_hour,SO2_hour,PM2.5_hour,PM10_hour,O3_hour,CO_hour,PC1_ProGeorgia,PC2_ProWest,TrustScore
164,2019-10-14,17,1,1,3,10100112,73,2,0,3,2,3,1,3,3,3,1,3,2,5,3,3,3,1,24.80333333333333,8.87,15.445,34.415,70.14333333333333,0.7933333333333333,14.676666666666668,8.129999999999999,11.118,28.644,76.09666666666668,0.65,11.3,8.785,12.576,31.079999999999995,76.83666666666666,0.5066666666666667,15.756666666666666,9.447500000000002,17.386,40.116,51.64666666666667,0.5599999999999999,17.21,8.66,9.642,24.838,44.21666666666667,0.57,19.19,9.9475,13.868,35.33,52.55,0.8533333333333332,164,2019-10-14,17.0,38.1475,10.2725,18.395,47.965,54.4875,0.3933333333333333,-0.08818302807666922,-0.6904597068444331,-0.07504614911341778
167,2019-10-14,17,9,2,3,697906303,65,2,1,3,6,1,1,1,1,1,3,3,1,3,3,1,2,9,35.7,0.505,18.39,45.595,38.54,0.22,21.16,0.435,10.125,24.61,32.99,0.14,10.53,0.3999999999999999,13.275,33.3,38.57,0.18,22.72,0.51,20.185,50.945,47.75,0.32,26.09,0.63,9.09,24.4,44.49,0.41,22.44,0.495,16.32,50.41,54.19,0.21,167,2019-10-14,17.0,24.1,0.99,12.185,30.62,21.99,0.16,-2.0374090656482022,0.31649461732959017,-1.733890385491506
168,2019-10-14,17,1,1,3,60303026,48,1,1,3,2,4,5,4,3,4,3,4,4,5,4,4,4,1,24.80333333333333,8.87,15.445,34.415,70.14333333333333,0.7933333333333333,14.676666666666668,8.129999999999999,11.118,28.644,76.09666666666668,0.65,11.3,8.785,12.576,31.079999999999995,76.83666666666666,0.5066666666666667,15.756666666666666,9.447500000000002,17.386,40.116,51.64666666666667,0.5599999999999999,17.21,8.66,9.642,24.838,44.21666666666667,0.57,19.19,9.9475,13.868,35.33,52.55,0.8533333333333332,168,2019-10-14,17.0,38.1475,10.2725,18.395,47.965,54.4875,0.3933333333333333,2.4903838072769027,-0.08012803108581171,2.119384178870021
169,2019-10-14,18,1,1,3,10100114,79,2,0,3,2,3,1,3,3,2,3,2,1,3,3,3,3,1,24.80333333333333,8.87,15.445,34.415,70.14333333333333,0.7933333333333333,14.676666666666668,8.129999999999999,11.118,28.644,76.09666666666668,0.65,11.3,8.785,12.576,31.079999999999995,76.83666666666666,0.5066666666666667,15.756666666666666,9.447500000000002,17.386,40.116,51.64666666666667,0.5599999999999999,17.21,8.66,9.642,24.838,44.21666666666667,0.57,19.19,9.9475,13.868,35.33,52.55,0.8533333333333332,169,2019-10-14,18.0,35.6225,8.9525,17.5825,52.41,58.365,0.36,-0.5486108594031612,0.14812643394693342,-0.4668827240114096
171,2019-10-14,18,1,1,3,60303010,40,2,0,3,2,3,2,2,3,3,3,3,3,2,3,3,2,1,24.80333333333333,8.87,15.445,34.415,70.14333333333333,0.7933333333333333,14.676666666666668,8.129999999999999,11.118,28.644,76.09666666666668,0.65,11.3,8.785,12.576,31.079999999999995,76.83666666666666,0.5066666666666667,15.756666666666666,9.447500000000002,17.386,40.116,51.64666666666667,0.5599999999999999,17.21,8.66,9.642,24.838,44.21666666666667,0.57,19.19,9.9475,13.868,35.33,52.55,0.8533333333333332,171,2019-10-14,18.0,35.6225,8.9525,17.5825,52.41,58.365,0.36,-0.030468805839181545,0.0036010640716429656,-0.02592978032379404
172,2019-10-14,18,1,1,3,10100116,59,2,1,1,8,2,1,4,4,3,2,1,3,3,1,3,1,1,24.80333333333333,8.87,15.445,34.415,70.14333333333333,0.7933333333333333,14.676666666666668,8.129999999999999,11.118,28.644,76.09666666666668,0.65,11.3,8.785,12.576,31.079999999999995,76.83666666666666,0.5066666666666667,15.756666666666666,9.447500000000002,17.386,40.116,51.64666666666667,0.5599999999999999,17.21,8.66,9.642,24.838,44.21666666666667,0.57,19.19,9.9475,13.868,35.33,52.55,0.8533333333333332,172,2019-10-14,18.0,35.6225,8.9525,17.5825,52.41,58.365,0.36,-0.6063984193772657,-1.5258722557535243,-0.516061505204393
173,2019-10-14,18,1,1,3,221010101,20,2,1,1,1,3,4,4,3,4,3,3,3,5,3,3,5,1,24.80333333333333,8.87,15.445,34.415,70.14333333333333,0.7933333333333333,14.676666666666668,8.129999999999999,11.118,28.644,76.09666666666668,0.65,11.3,8.785,12.576,31.079999999999995,76.83666666666666,0.5066666666666667,15.756666666666666,9.447500000000002,17.386,40.116,51.64666666666667,0.5599999999999999,17.21,8.66,9.642,24.838,44.21666666666667,0.57,19.19,9.9475,13.868,35.33,52.55,0.8533333333333332,173,2019-10-14,18.0,35.6225,8.9525,17.5825,52.41,58.365,0.36,1.5981208199298786,-0.2158170629021009,1.3600441714185834
176,2019-10-15,11,1,1,3,130608101,41,2,0,1,2,3,2,3,3,3,1,3,3,2,3,3,2,1,30.366666666666664,9.6675,19.396666666666665,43.81333333333333,68.22333333333334,1.1033333333333333,24.80333333333333,8.87,15.445,34.415,70.14333333333333,0.7933333333333333,14.676666666666668,8.129999999999999,11.118,28.644,76.09666666666668,0.65,11.3,8.785,12.576,31.079999999999995,76.83666666666666,0.5066666666666667,15.756666666666666,9.447500000000002,17.386,40.116,51.64666666666667,0.5599999999999999,17.21,8.66,9.642,24.838,44.21666666666667,0.57,176,2019-10-15,11.0,45.595,9.5,18.06,43.11333333333334,25.4975,0.6666666666666666,-0.009225378042804233,-0.727255301123265,-0.007851046979539
177,2019-10-15,11,1,1,3,130608102,32,2,0,3,2,3,3,2,3,3,3,3,3,4,3,4,3,1,30.366666666666664,9.6675,19.396666666666665,43.81333333333333,68.22333333333334,1.1033333333333333,24.80333333333333,8.87,15.445,34.415,70.14333333333333,0.7933333333333333,14.676666666666668,8.129999999999999,11.118,28.644,76.09666666666668,0.65,11.3,8.785,12.576,31.079999999999995,76.83666666666666,0.5066666666666667,15.756666666666666,9.447500000000002,17.386,40.116,51.64666666666667,0.5599999999999999,17.21,8.66,9.642,24.838,44.21666666666667,0.57,177,2019-10-15,11.0,45.595,9.5,18.06,43.11333333333334,25.4975,0.6666666666666666,0.5859385345225938,0.14056637458729906,0.498649588159402
178,2019-10-15,12,1,1,3,130608104,35,2,0,1,6,3,3,3,3,2,3,2,3,3,4,3,3,1,30.366666666666664,9.6675,19.396666666666665,43.81333333333333,68.22333333333334,1.1033333333333333,24.80333333333333,8.87,15.445,34.415,70.14333333333333,0.7933333333333333,14.676666666666668,8.129999999999999,11.118,28.644,76.09666666666668,0.65,11.3,8.785,12.576,31.079999999999995,76.83666666666666,0.5066666666666667,15.756666666666666,9.447500000000002,17.386,40.116,51.64666666666667,0.5599999999999999,17.21,8.66,9.642,24.838,44.21666666666667,0.57,178,2019-10-15,12.0,33.6625,9.7025,17.150000000000002,44.16333333333333,28.37,0.7000000000000001,0.49808010451758095,-0.045648191611780936,0.42387968081062716
179,2019-10-15,12,1,1,3,150801018,47,1,1,2,2,1,1,1,1,5,5,3,1,3,5,5,5,1,30.366666666666664,9.6675,19.396666666666665,43.81333333333333,68.22333333333334,1.1033333333333333,24.80333333333333,8.87,15.445,34.415,70.14333333333333,0.7933333333333333,14.676666666666668,8.129999999999999,11.118,28.644,76.09666666666668,0.65,11.3,8.785,12.576,31.079999999999995,76.83666666666666,0.5066666666666667,15.756666666666666,9.447500000000002,17.386,40.116,51.64666666666667,0.5599999999999999,17.21,8.66,9.642,24.838,44.21666666666667,0.57,179,2019-10-15,12.0,33.6625,9.7025,17.150000000000002,44.16333333333333,28.37,0.7000000000000001,-0.0765908166403109,2.604599024217645,-0.06518086270874986
180,2019-10-15,13,1,1,3,190908410,46,2,1,3,8,4,1,1,2,3,3,3,2,5,2,2,2,1,30.366666666666664,9.6675,19.396666666666665,43.81333333333333,68.22333333333334,1.1033333333333333,24.80333333333333,8.87,15.445,34.415,70.14333333333333,0.7933333333333333,14.676666666666668,8.129999999999999,11.118,28.644,76.09666666666668,0.65,11.3,8.785,12.576,31.079999999999995,76.83666666666666,0.5066666666666667,15.756666666666666,9.447500000000002,17.386,40.116,51.64666666666667,0.5599999999999999,17.21,8.66,9.642,24.838,44.21666666666667,0.57,180,2019-10-15,13.0,27.7025,8.825,12.593333333333334,34.82666666666666,32.6875,0.6900000000000001,-0.7007955911428807,-0.3540148136464259,-0.5963960591737585
181,2019-10-15,13,1,1,3,221010401,73,2,0,2,8,2,2,2,2,3,3,3,2,3,2,4,4,1,30.366666666666664,9.6675,19.396666666666665,43.81333333333333,68.22333333333334,1.1033333333333333,24.80333333333333,8.87,15.445,34.415,70.14333333333333,0.7933333333333333,14.676666666666668,8.129999999999999,11.118,28.644,76.09666666666668,0.65,11.3,8.785,12.576,31.079999999999995,76.83666666666666,0.5066666666666667,15.756666666666666,9.447500000000002,17.386,40.116,51.64666666666667,0.5599999999999999,17.21,8.66,9.642,24.838,44.21666666666667,0.57,181,2019-10-15,13.0,27.7025,8.825,12.593333333333334,34.82666666666666,32.6875,0.6900000000000001,-0.3142513302431902,0.6524058644101348,-0.26743640701492155
182,2019-10-15,13,1,1,3,130608108,53,2,0,3,2,3,3,4,1,3,3,3,3,3,4,3,4,1,30.366666666666664,9.6675,19.396666666666665,43.81333333333333,68.22333333333334,1.1033333333333333,24.80333333333333,8.87,15.445,34.415,70.14333333333333,0.7933333333333333,14.676666666666668,8.129999999999999,11.118,28.644,76.09666666666668,0.65,11.3,8.785,12.576,31.079999999999995,76.83666666666666,0.5066666666666667,15.756666666666666,9.447500000000002,17.386,40.116,51.64666666666667,0.5599999999999999,17.21,8.66,9.642,24.838,44.21666666666667,0.57,182,2019-10-15,13.0,27.7025,8.825,12.593333333333334,34.82666666666666,32.6875,0.6900000000000001,0.7783217480411455,0.3937976661660564,0.662372921815842
183,2019-10-15,14,1,1,3,190908413,82,2,0,3,8,3,3,3,3,3,3,3,3,4,3,4,4,1,30.366666666666664,9.6675,19.396666666666665,43.81333333333333,68.22333333333334,1.1033333333333333,24.80333333333333,8.87,15.445,34.415,70.14333333333333,0.7933333333333333,14.676666666666668,8.129999999999999,11.118,28.644,76.09666666666668,0.65,11.3,8.785,12.576,31.079999999999995,76.83666666666666,0.5066666666666667,15.756666666666666,9.447500000000002,17.386,40.116,51.64666666666667,0.5599999999999999,17.21,8.66,9.642,24.838,44.21666666666667,0.57,183,2019-10-15,14.0,26.3025,9.5,11.89,33.36666666666667,36.9775,0.6766666666666667,0.9225229587487143,0.20512022528794588,0.7850920640036881
185,2019-10-15,14,1,1,3,221010402,91,2,0,1,8,2,2,2,2,3,2,3,3,3,3,2,2,1,30.366666666666664,9.6675,19.396666666666665,43.81333333333333,68.22333333333334,1.1033333333333333,24.80333333333333,8.87,15.445,34.415,70.14333333333333,0.7933333333333333,14.676666666666668,8.129999999999999,11.118,28.644,76.09666666666668,0.65,11.3,8.785,12.576,31.079999999999995,76.83666666666666,0.5066666666666667,15.756666666666666,9.447500000000002,17.386,40.116,51.64666666666667,0.5599999999999999,17.21,8.66,9.642,24.838,44.21666666666667,0.57,185,2019-10-15,14.0,26.3025,9.5,11.89,33.36666666666667,36.9775,0.6766666666666667,-0.5072851719491427,-0.4619995733046714,-0.43171344290901453
187,2019-10-15,15,1,1,3,221010405,58,2,1,2,2,5,4,4,4,4,4,4,4,4,4,4,4,1,30.366666666666664,9.6675,19.396666666666665,43.81333333333333,68.22333333333334,1.1033333333333333,24.80333333333333,8.87,15.445,34.415,70.14333333333333,0.7933333333333333,14.676666666666668,8.129999999999999,11.118,28.644,76.09666666666668,0.65,11.3,8.785,12.576,31.079999999999995,76.83666666666666,0.5066666666666667,15.756666666666666,9.447500000000002,17.386,40.116,51.64666666666667,0.5599999999999999,17.21,8.66,9.642,24.838,44.21666666666667,0.57,187,2019-10-15,15.0,28.290000000000003,10.5975,12.616666666666667,32.98,41.8375,0.66,2.635952019768091,0.21627063047328157,2.243266676659612
190,2019-10-15,16,1,1,3,190908426,74,2,0,2,8,2,1,1,1,3,3,3,1,3,1,4,4,1,30.366666666666664,9.6675,19.396666666666665,43.81333333333333,68.22333333333334,1.1033333333333333,24.80333333333333,8.87,15.445,34.415,70.14333333333333,0.7933333333333333,14.676666666666668,8.129999999999999,11.118,28.644,76.09666666666668,0.65,11.3,8.785,12.576,31.079999999999995,76.83666666666666,0.5066666666666667,15.756666666666666,9.447500000000002,17.386,40.116,51.64666666666667,0.5599999999999999,17.21,8.66,9.642,24.838,44.21666666666667,0.57,190,2019-10-15,16.0,31.805,11.055,14.473333333333334,38.24,47.4,0.61,-1.2883265989401522,0.9327962380741135,-1.0964008852903637
191,2019-10-15,16,9,2,3,697902613,37,2,0,1,2,2,2,3,2,3,3,3,3,4,2,2,1,9,46.07,1.03,25.515,61.31,40.15,0.29,35.7,0.505,18.39,45.595,38.54,0.22,21.16,0.435,10.125,24.61,32.99,0.14,10.53,0.3999999999999999,13.275,33.3,38.57,0.18,22.72,0.51,20.185,50.945,47.75,0.32,26.09,0.63,9.09,24.4,44.49,0.41,191,2019-10-15,16.0,28.61,1.035,13.64,37.325,23.43,0.13,-0.4445343586040676,-0.7740866035796953,-0.37831079845470506
192,2019-10-15,16,1,1,3,221010410,67,2,0,3,8,4,4,4,4,5,3,3,4,3,3,1,2,1,30.366666666666664,9.6675,19.396666666666665,43.81333333333333,68.22333333333334,1.1033333333333333,24.80333333333333,8.87,15.445,34.415,70.14333333333333,0.7933333333333333,14.676666666666668,8.129999999999999,11.118,28.644,76.09666666666668,0.65,11.3,8.785,12.576,31.079999999999995,76.83666666666666,0.5066666666666667,15.756666666666666,9.447500000000002,17.386,40.116,51.64666666666667,0.5599999999999999,17.21,8.66,9.642,24.838,44.21666666666667,0.57,192,2019-10-15,16.0,31.805,11.055,14.473333333333334,38.24,47.4,0.61,1.544928261526127,-1.4155810996128249,1.314775861214703
193,2019-10-15,17,1,1,3,120608206,78,1,0,3,2,3,3,3,3,4,3,3,3,5,3,3,3,1,30.366666666666664,9.6675,19.396666666666665,43.81333333333333,68.22333333333334,1.1033333333333333,24.80333333333333,8.87,15.445,34.415,70.14333333333333,0.7933333333333333,14.676666666666668,8.129999999999999,11.118,28.644,76.09666666666668,0.65,11.3,8.785,12.576,31.079999999999995,76.83666666666666,0.5066666666666667,15.756666666666666,9.447500000000002,17.386,40.116,51.64666666666667,0.5599999999999999,17.21,8.66,9.642,24.838,44.21666666666667,0.57,193,2019-10-15,17.0,32.102500000000006,10.1875,15.6825,48.045,53.432500000000005,0.5166666666666667,0.9040051663079607,-0.40154911748220673,0.7693329202878262
195,2019-10-15,17,9,2,3,707906905,36,2,1,2,2,2,1,2,2,4,2,3,2,4,2,3,3,9,46.07,1.03,25.515,61.31,40.15,0.29,35.7,0.505,18.39,45.595,38.54,0.22,21.16,0.435,10.125,24.61,32.99,0.14,10.53,0.3999999999999999,13.275,33.3,38.57,0.18,22.72,0.51,20.185,50.945,47.75,0.32,26.09,0.63,9.09,24.4,44.49,0.41,195,2019-10-15,17.0,41.59,1.375,17.564999999999998,50.155,22.27,0.12,-0.6451762507283327,-0.1800088786738716,-0.5490624916451966
196,2019-10-15,18,1,1,3,120608210,26,1,0,3,1,4,1,3,3,3,2,1,3,4,3,3,3,1,30.366666666666664,9.6675,19.396666666666665,43.81333333333333,68.22333333333334,1.1033333333333333,24.80333333333333,8.87,15.445,34.415,70.14333333333333,0.7933333333333333,14.676666666666668,8.129999999999999,11.118,28.644,76.09666666666668,0.65,11.3,8.785,12.576,31.079999999999995,76.83666666666666,0.5066666666666667,15.756666666666666,9.447500000000002,17.386,40.116,51.64666666666667,0.5599999999999999,17.21,8.66,9.642,24.838,44.21666666666667,0.57,196,2019-10-15,18.0,35.185,8.5,21.032,58.002,57.4375,0.4433333333333333,0.0849174987188036,-0.7415986241641519,0.07226709504292761
199,2019-10-15,19,1,1,3,10100106,59,2,1,2,2,3,3,3,3,3,3,3,3,5,4,4,3,1,30.366666666666664,9.6675,19.396666666666665,43.81333333333333,68.22333333333334,1.1033333333333333,24.80333333333333,8.87,15.445,34.415,70.14333333333333,0.7933333333333333,14.676666666666668,8.129999999999999,11.118,28.644,76.09666666666668,0.65,11.3,8.785,12.576,31.079999999999995,76.83666666666666,0.5066666666666667,15.756666666666666,9.447500000000002,17.386,40.116,51.64666666666667,0.5599999999999999,17.21,8.66,9.642,24.838,44.21666666666667,0.57,199,2019-10-15,19.0,63.3725,11.68,34.86,89.684,56.555,0.5133333333333333,1.0308024558887932,0.06781581436968032,0.8772408534650262
200,2019-10-15,19,9,2,3,707906913,32,2,1,1,1,2,2,1,1,2,1,4,2,5,1,3,4,9,46.07,1.03,25.515,61.31,40.15,0.29,35.7,0.505,18.39,45.595,38.54,0.22,21.16,0.435,10.125,24.61,32.99,0.14,10.53,0.3999999999999999,13.275,33.3,38.57,0.18,22.72,0.51,20.185,50.945,47.75,0.32,26.09,0.63,9.09,24.4,44.49,0.41,200,2019-10-15,19.0,107.5,0.455,23.435,64.615,28.4,0.05,-1.0156983372382509,-0.11555791480812698,-0.8643868387504278
201,2019-10-15,20,1,1,3,180903914,24,1,1,3,1,2,2,2,1,3,3,2,3,3,4,4,4,1,30.366666666666664,9.6675,19.396666666666665,43.81333333333333,68.22333333333334,1.1033333333333333,24.80333333333333,8.87,15.445,34.415,70.14333333333333,0.7933333333333333,14.676666666666668,8.129999999999999,11.118,28.644,76.09666666666668,0.65,11.3,8.785,12.576,31.079999999999995,76.83666666666666,0.5066666666666667,15.756666666666666,9.447500000000002,17.386,40.116,51.64666666666667,0.5599999999999999,17.21,8.66,9.642,24.838,44.21666666666667,0.57,201,2019-10-15,20.0,60.82,11.2375,37.456,83.356,52.3925,0.6033333333333334,-0.04882913623675351,0.8746599741571527,-0.04155491956929411
202,2019-10-15,20,9,2,3,707906914,62,2,0,2,2,3,3,3,3,4,3,3,3,5,3,3,3,9,46.07,1.03,25.515,61.31,40.15,0.29,35.7,0.505,18.39,45.595,38.54,0.22,21.16,0.435,10.125,24.61,32.99,0.14,10.53,0.3999999999999999,13.275,33.3,38.57,0.18,22.72,0.51,20.185,50.945,47.75,0.32,26.09,0.63,9.09,24.4,44.49,0.41,202,2019-10-15,20.0,106.65,0.93,34.61,100.145,33.17,0.09,0.9040051663079607,-0.40154911748220673,0.7693329202878262
203,2019-10-15,21,1,1,3,180903909,55,1,1,3,2,2,2,1,1,3,3,2,2,4,2,4,4,1,30.366666666666664,9.6675,19.396666666666665,43.81333333333333,68.22333333333334,1.1033333333333333,24.80333333333333,8.87,15.445,34.415,70.14333333333333,0.7933333333333333,14.676666666666668,8.129999999999999,11.118,28.644,76.09666666666668,0.65,11.3,8.785,12.576,31.079999999999995,76.83666666666666,0.5066666666666667,15.756666666666666,9.447500000000002,17.386,40.116,51.64666666666667,0.5599999999999999,17.21,8.66,9.642,24.838,44.21666666666667,0.57,203,2019-10-15,21.0,52.99,10.75,34.896,77.628,46.3175,0.77,-0.7289881745136589,0.6564129204245621,-0.6203887124278108
205,2019-10-16,12,1,1,3,80507407,71,2,0,3,8,4,3,4,4,4,3,4,3,4,3,4,4,1,31.246666666666663,9.7125,21.16,49.373333333333335,59.51333333333333,1.31,30.366666666666664,9.6675,19.396666666666665,43.81333333333333,68.22333333333334,1.1033333333333333,24.80333333333333,8.87,15.445,34.415,70.14333333333333,0.7933333333333333,14.676666666666668,8.129999999999999,11.118,28.644,76.09666666666668,0.65,11.3,8.785,12.576,31.079999999999995,76.83666666666666,0.5066666666666667,15.756666666666666,9.447500000000002,17.386,40.116,51.64666666666667,0.5599999999999999,205,2019-10-16,12.0,34.9075,7.75,15.536,42.238,22.475,0.4866666666666666,1.7505693610019784,-0.019746148510661372,1.4897820154793804
206,2019-10-16,12,1,1,3,140703905,27,1,1,3,2,1,1,1,1,1,1,2,1,3,1,2,1,1,31.246666666666663,9.7125,21.16,49.373333333333335,59.51333333333333,1.31,30.366666666666664,9.6675,19.396666666666665,43.81333333333333,68.22333333333334,1.1033333333333333,24.80333333333333,8.87,15.445,34.415,70.14333333333333,0.7933333333333333,14.676666666666668,8.129999999999999,11.118,28.644,76.09666666666668,0.65,11.3,8.785,12.576,31.079999999999995,76.83666666666666,0.5066666666666667,15.756666666666666,9.447500000000002,17.386,40.116,51.64666666666667,0.5599999999999999,206,2019-10-16,12.0,34.9075,7.75,15.536,42.238,22.475,0.4866666666666666,-2.7040614475312137,-0.7310111704489812,-2.301229647351625
207,2019-10-16,13,1,1,3,221010412,74,2,0,3,8,3,2,2,2,2,2,3,3,3,2,3,2,1,31.246666666666663,9.7125,21.16,49.373333333333335,59.51333333333333,1.31,30.366666666666664,9.6675,19.396666666666665,43.81333333333333,68.22333333333334,1.1033333333333333,24.80333333333333,8.87,15.445,34.415,70.14333333333333,0.7933333333333333,14.676666666666668,8.129999999999999,11.118,28.644,76.09666666666668,0.65,11.3,8.785,12.576,31.079999999999995,76.83666666666666,0.5066666666666667,15.756666666666666,9.447500000000002,17.386,40.116,51.64666666666667,0.5599999999999999,207,2019-10-16,13.0,34.455,8.7225,15.654000000000002,42.194,25.465,0.4966666666666666,-0.5297592622591583,-0.38960260358088383,-0.4508395034376627
209,2019-10-16,13,1,1,3,130608110,50,1,0,3,2,1,1,1,1,1,3,3,3,5,3,3,3,1,31.246666666666663,9.7125,21.16,49.373333333333335,59.51333333333333,1.31,30.366666666666664,9.6675,19.396666666666665,43.81333333333333,68.22333333333334,1.1033333333333333,24.80333333333333,8.87,15.445,34.415,70.14333333333333,0.7933333333333333,14.676666666666668,8.129999999999999,11.118,28.644,76.09666666666668,0.65,11.3,8.785,12.576,31.079999999999995,76.83666666666666,0.5066666666666667,15.756666666666666,9.447500000000002,17.386,40.116,51.64666666666667,0.5599999999999999,209,2019-10-16,13.0,34.455,8.7225,15.654000000000002,42.194,25.465,0.4966666666666666,-1.1008964298215476,0.5539237267090382,-0.936892726783961
214,2019-10-16,14,1,1,3,130608111,32,1,0,3,1,4,1,3,1,3,3,1,1,3,3,3,3,1,31.246666666666663,9.7125,21.16,49.373333333333335,59.51333333333333,1.31,30.366666666666664,9.6675,19.396666666666665,43.81333333333333,68.22333333333334,1.1033333333333333,24.80333333333333,8.87,15.445,34.415,70.14333333333333,0.7933333333333333,14.676666666666668,8.129999999999999,11.118,28.644,76.09666666666668,0.65,11.3,8.785,12.576,31.079999999999995,76.83666666666666,0.5066666666666667,15.756666666666666,9.447500000000002,17.386,40.116,51.64666666666667,0.5599999999999999,214,2019-10-16,14.0,34.80500000000001,8.6125,16.832,46.510000000000005,29.4575,0.5133333333333333,-0.6637074187616124,0.1666722420453559,-0.5648330183531497
215,2019-10-16,14,1,1,3,190906801,33,1,0,1,1,1,1,1,1,5,1,1,1,3,1,1,1,1,31.246666666666663,9.7125,21.16,49.373333333333335,59.51333333333333,1.31,30.366666666666664,9.6675,19.396666666666665,43.81333333333333,68.22333333333334,1.1033333333333333,24.80333333333333,8.87,15.445,34.415,70.14333333333333,0.7933333333333333,14.676666666666668,8.129999999999999,11.118,28.644,76.09666666666668,0.65,11.3,8.785,12.576,31.079999999999995,76.83666666666666,0.5066666666666667,15.756666666666666,9.447500000000002,17.386,40.116,51.64666666666667,0.5599999999999999,215,2019-10-16,14.0,34.80500000000001,8.6125,16.832,46.510000000000005,29.4575,0.5133333333333333,-2.33376832343101,-1.3419573777041123,-1.9861001534683291
216,2019-10-16,14,1,1,3,80507408,43,2,1,3,2,3,3,4,4,3,4,3,4,3,4,3,3,1,31.246666666666663,9.7125,21.16,49.373333333333335,59.51333333333333,1.31,30.366666666666664,9.6675,19.396666666666665,43.81333333333333,68.22333333333334,1.1033333333333333,24.80333333333333,8.87,15.445,34.415,70.14333333333333,0.7933333333333333,14.676666666666668,8.129999999999999,11.118,28.644,76.09666666666668,0.65,11.3,8.785,12.576,31.079999999999995,76.83666666666666,0.5066666666666667,15.756666666666666,9.447500000000002,17.386,40.116,51.64666666666667,0.5599999999999999,216,2019-10-16,14.0,34.80500000000001,8.6125,16.832,46.510000000000005,29.4575,0.5133333333333333,1.4452445789594206,-0.02607395793694927,1.229942343141684
219,2019-10-16,14,1,1,3,120608211,35,2,1,3,2,3,3,3,2,3,3,2,3,3,3,3,3,1,31.246666666666663,9.7125,21.16,49.373333333333335,59.51333333333333,1.31,30.366666666666664,9.6675,19.396666666666665,43.81333333333333,68.22333333333334,1.1033333333333333,24.80333333333333,8.87,15.445,34.415,70.14333333333333,0.7933333333333333,14.676666666666668,8.129999999999999,11.118,28.644,76.09666666666668,0.65,11.3,8.785,12.576,31.079999999999995,76.83666666666666,0.5066666666666667,15.756666666666666,9.447500000000002,17.386,40.116,51.64666666666667,0.5599999999999999,219,2019-10-16,14.0,34.80500000000001,8.6125,16.832,46.510000000000005,29.4575,0.5133333333333333,0.31510162831668115,-0.13295652331768756,0.2681600337422616
221,2019-10-16,15,1,1,3,130608112,29,2,0,3,2,2,1,1,1,3,3,3,1,5,1,1,1,1,31.246666666666663,9.7125,21.16,49.373333333333335,59.51333333333333,1.31,30.366666666666664,9.6675,19.396666666666665,43.81333333333333,68.22333333333334,1.1033333333333333,24.80333333333333,8.87,15.445,34.415,70.14333333333333,0.7933333333333333,14.676666666666668,8.129999999999999,11.118,28.644,76.09666666666668,0.65,11.3,8.785,12.576,31.079999999999995,76.83666666666666,0.5066666666666667,15.756666666666666,9.447500000000002,17.386,40.116,51.64666666666667,0.5599999999999999,221,2019-10-16,15.0,38.33,8.7375,16.29,46.358,34.087500000000006,0.52,-1.870692982842048,-0.6114886634365247,-1.5920104763666147
222,2019-10-16,15,9,2,3,697905501,62,2,0,2,1,2,2,2,2,3,3,3,3,2,3,2,2,9,53.02,1.835,26.995,69.875,41.7,0.42,46.07,1.03,25.515,61.31,40.15,0.29,35.7,0.505,18.39,45.595,38.54,0.22,21.16,0.435,10.125,24.61,32.99,0.14,10.53,0.3999999999999999,13.275,33.3,38.57,0.18,22.72,0.51,20.185,50.945,47.75,0.32,222,2019-10-16,15.0,31.91,1.265,28.82,64.91499999999999,26.37,0.12,-0.4921942671057724,-0.048176132706111395,-0.4188706735027824
225,2019-10-16,15,1,1,3,221008408,71,2,0,3,8,1,1,1,1,1,4,4,1,1,3,4,1,1,31.246666666666663,9.7125,21.16,49.373333333333335,59.51333333333333,1.31,30.366666666666664,9.6675,19.396666666666665,43.81333333333333,68.22333333333334,1.1033333333333333,24.80333333333333,8.87,15.445,34.415,70.14333333333333,0.7933333333333333,14.676666666666668,8.129999999999999,11.118,28.644,76.09666666666668,0.65,11.3,8.785,12.576,31.079999999999995,76.83666666666666,0.5066666666666667,15.756666666666666,9.447500000000002,17.386,40.116,51.64666666666667,0.5599999999999999,225,2019-10-16,15.0,38.33,8.7375,16.29,46.358,34.087500000000006,0.52,-1.7825202795128945,1.5307118439190914,-1.5169731138934213
